date,amount,description,category
2024-01-01,45.50,Starbucks Coffee,
2024-01-02,150.00,Whole Foods Grocery Shopping,Food
2024-01-03,89.99,Amazon Prime Video Subscription,
2024-01-04,1200.00,Monthly Rent Payment,Bills
2024-01-05,55.00,Uber Ride to Airport,
2024-01-06,320.00,Nike Running Shoes,Shopping
2024-01-07,75.50,Restaurant Dinner,Food
2024-01-08,2500.00,Roundtrip Flight to NYC,Travel
2024-01-09,145.00,Electric Bill,Bills
2024-01-10,35.00,Spotify Monthly Subscription,
2024-01-11,200.00,CVS Pharmacy Prescription,Health
2024-01-12,89.99,Movie Tickets for 2,Entertainment
2024-01-13,125.50,Gas Station Fill-up,Transport
2024-01-14,450.00,Hotel Stay 2 Nights,Travel
2024-01-15,95.00,Target Shopping Spree,Shopping
2024-01-16,52.00,Coffee and Lunch,Food
2024-01-17,1100.00,Internet Bill Annual,Bills
2024-01-18,78.00,Uber Eats Delivery,Food
2024-01-19,150.00,Doctor Visit Copay,Health
2024-01-20,42.50,Cinema Ticket,Entertainment
2024-01-21,200.00,Train Ticket,Transport
2024-01-22,350.00,New Monitor for Home,Shopping
2024-01-23,65.00,Coffee Shop Multiple Visits,
2024-01-24,500.00,Airbnb Weekend Stay,Travel
2024-01-25,120.00,Grocery Store Weekly Shopping,Food
2024-01-26,85.00,Taxi Ride Home,Transport
2024-01-27,250.00,Health Insurance Copay,Bills
2024-01-28,45.00,Netflix Monthly Subscription,Entertainment
2024-01-29,310.00,Air Conditioner Repair,
2024-01-30,95.00,Restaurant Lunch Meeting,Food
2024-01-31,500.00,Emergency Car Repair,Transport
